"State","Date","Population"
"LA",2017-12-07,4665824.84931507
"LA",2017-12-08,4665795.06849315
"LA",2017-12-09,4665765.28767123
"LA",2017-12-10,4665735.50684932
"LA",2017-12-11,4665705.7260274
"LA",2017-12-12,4665675.94520548
"LA",2017-12-13,4665646.16438356
"LA",2017-12-14,4665616.38356164
"LA",2017-12-15,4665586.60273973
"LA",2017-12-16,4665556.82191781
"LA",2017-12-17,4665527.04109589
"LA",2017-12-18,4665497.26027397
"LA",2017-12-19,4665467.47945205
"LA",2017-12-20,4665437.69863014
"LA",2017-12-21,4665407.91780822
"LA",2017-12-22,4665378.1369863
"LA",2017-12-23,4665348.35616438
"LA",2017-12-24,4665318.57534247
"LA",2017-12-25,4665288.79452055
"LA",2017-12-26,4665259.01369863
"LA",2017-12-27,4665229.23287671
"LA",2017-12-28,4665199.45205479
"LA",2017-12-29,4665169.67123288
"LA",2017-12-30,4665139.89041096
"LA",2017-12-31,4665110.10958904
"LA",2018-01-01,4665080.32876712
"LA",2018-01-02,4665050.54794521
"LA",2018-01-03,4665020.76712329
"LA",2018-01-04,4664990.98630137
"LA",2018-01-05,4664961.20547945
"LA",2018-01-06,4664931.42465753
"LA",2018-01-07,4664901.64383562
"LA",2018-01-08,4664871.8630137
"LA",2018-01-09,4664842.08219178
"LA",2018-01-10,4664812.30136986
"LA",2018-01-11,4664782.52054795
"LA",2018-01-12,4664752.73972603
"LA",2018-01-13,4664722.95890411
"LA",2018-01-14,4664693.17808219
"LA",2018-01-15,4664663.39726027
"LA",2018-01-16,4664633.61643836
"LA",2018-01-17,4664603.83561644
"LA",2018-01-18,4664574.05479452
"LA",2018-01-19,4664544.2739726
"LA",2018-01-20,4664514.49315068
"LA",2018-01-21,4664484.71232877
"LA",2018-01-22,4664454.93150685
"LA",2018-01-23,4664425.15068493
"LA",2018-01-24,4664395.36986301
"LA",2018-01-25,4664365.5890411
"LA",2018-01-26,4664335.80821918
"LA",2018-01-27,4664306.02739726
"LA",2018-01-28,4664276.24657534
"LA",2018-01-29,4664246.46575342
"LA",2018-01-30,4664216.68493151
"LA",2018-01-31,4664186.90410959
"LA",2018-02-01,4664157.12328767
"LA",2018-02-02,4664127.34246575
"LA",2018-02-03,4664097.56164384
"LA",2018-02-04,4664067.78082192
"LA",2018-02-05,4664038
"LA",2018-02-06,4664008.21917808
"LA",2018-02-07,4663978.43835616
"LA",2018-02-08,4663948.65753425
"LA",2018-02-09,4663918.87671233
"LA",2018-02-10,4663889.09589041
"LA",2018-02-11,4663859.31506849
"LA",2018-02-12,4663829.53424658
"LA",2018-02-13,4663799.75342466
"LA",2018-02-14,4663769.97260274
"LA",2018-02-15,4663740.19178082
"LA",2018-02-16,4663710.4109589
"LA",2018-02-17,4663680.63013699
"LA",2018-02-18,4663650.84931507
"LA",2018-02-19,4663621.06849315
"LA",2018-02-20,4663591.28767123
"LA",2018-02-21,4663561.50684932
"LA",2018-02-22,4663531.7260274
"LA",2018-02-23,4663501.94520548
"LA",2018-02-24,4663472.16438356
"LA",2018-02-25,4663442.38356164
"LA",2018-02-26,4663412.60273973
"LA",2018-02-27,4663382.82191781
"LA",2018-02-28,4663353.04109589
"LA",2018-03-01,4663323.26027397
"LA",2018-03-02,4663293.47945205
"LA",2018-03-03,4663263.69863014
"LA",2018-03-04,4663233.91780822
"LA",2018-03-05,4663204.1369863
"LA",2018-03-06,4663174.35616438
"LA",2018-03-07,4663144.57534247
"LA",2018-03-08,4663114.79452055
"LA",2018-03-09,4663085.01369863
"LA",2018-03-10,4663055.23287671
"LA",2018-03-11,4663025.45205479
"LA",2018-03-12,4662995.67123288
"LA",2018-03-13,4662965.89041096
"LA",2018-03-14,4662936.10958904
"LA",2018-03-15,4662906.32876712
"LA",2018-03-16,4662876.54794521
"LA",2018-03-17,4662846.76712329
"LA",2018-03-18,4662816.98630137
"LA",2018-03-19,4662787.20547945
"LA",2018-03-20,4662757.42465753
"LA",2018-03-21,4662727.64383562
"LA",2018-03-22,4662697.8630137
"LA",2018-03-23,4662668.08219178
"LA",2018-03-24,4662638.30136986
