"State","Year_Month","Acc_PC","Acc_per_RMV","VMT_PC","Rural_Mileage_PC","Urban_Mileage_PC","RMV_PC","Population","Pop_Density","Alc_Cons_PC","Year","Avg_Severity","Month","Rec_Mar_Legal","Sale_Mar_Legal","Med_Mar_Legal","Sale_Mar_Legal_Neighbour","SRC_Bing","SRC_MQ"
"OK",Nov 2019,349.855489,373.525363,933.03315,50552.693,10891.0753333333,0.936615963333333,3955915.23333333,57.6706056666667,122436.839,2019,2.08788186666667,11,0,0,1,1,0,1
"OK",Dez 2019,303.6129595,324.4820957,900.22426,50670.9664516129,10919.4525806452,0.935628983870968,3955681.03225806,57.6671916129032,126525.559,2019,2.12903448387097,12,0,0,1,1,0,1
"RI",Feb 2016,0,0,361.17521,2656.56877272727,9429.8755,0.819725590909091,1056512.81818182,1021.77259090909,131107.32,2016,0,2,0,0,1,0,1,0
"RI",Mär 2016,25.554022,31.14087,563.14626,2656.64419354839,9430.70522580645,0.820338925806452,1056563.90322581,1021.82193548387,184733.209,2016,0.347350225806452,3,0,0,1,0,1,0
"RI",Apr 2016,83.2844259,101.440878,578.25752,2656.73106666667,9431.66006666667,0.821044763333333,1056622.66666667,1021.87876666667,178764.132,2016,1.45055553333333,4,0,0,1,0,1,0
"RI",Mai 2016,76.6548762,93.278532,650.14866,2656.81793548387,9432.61483870968,0.821750522580645,1056681.38709677,1021.93561290323,184712.666,2016,1.48233487096774,5,0,0,1,0,1,0
"RI",Jun 2016,66.2411015,80.534053,665.25343,2656.90473333333,9433.5695,0.8224562,1056740.13333333,1021.9924,178744.255,2016,1.58670633333333,6,0,0,1,0,1,0
"RI",Jul 2016,34.0675722,41.382633,695.54526,2657.17761290323,9435.18467741935,0.823219432258064,1056725,1021.97767741935,184705.056,2016,0.983870967741935,7,0,0,1,0,1,0
"RI",Aug 2016,54.8915526,66.609389,788.35412,2657.65038709677,9437.52,0.824055790322581,1056632,1021.88758064516,184721.345,2016,1.49039938709677,8,0,0,1,0,1,0
"RI",Sep 2016,53.003317,64.254201,891.58946,2658.1155,9439.8182,0.82487879,1056540.5,1021.7989,178778.101,2016,1.3261111,9,0,0,1,0,1,0
"RI",Okt 2016,55.8477524,67.633146,537.65048,2658.58074193548,9442.11674193548,0.825701938709677,1056448,1021.71025806452,184753.402,2016,1.20199690322581,10,0,0,1,0,1,0
"RI",Nov 2016,83.3057476,100.782635,542.43039,2659.04606666667,9444.4157,0.82652523,1056356.5,1021.6216,178809.127,2016,1.43,11,0,0,1,0,1,0
"RI",Dez 2016,71.9512889,86.970928,572.77289,2659.60051612903,9446.50616129032,0.8273487,1056265,1021.53296774194,184785.468,2016,1.2895545483871,12,0,0,1,0,1,0
"RI",Jan 2017,51.1281642,61.733431,408.07753,2660.634,9447.52877419355,0.828185741935484,1056172,1021.44287096774,188058.492,2017,1.30403225806452,1,0,0,1,0,1,0
"RI",Feb 2017,54.9194263,66.275155,480.07579,2661.68310714286,9448.34853571429,0.828676267857143,1056083.5,1021.35710714286,169873.542,2017,1.44642857142857,2,0,0,1,0,1,0
"RI",Mär 2017,50.1894853,60.553646,556.82103,2662.73229032258,9449.16841935484,0.828850119354839,1055995,1021.27135483871,188090.071,2017,1.47311825806452,3,0,0,1,0,1,0
"RI",Apr 2017,53.9823717,65.114699,578.6517,2663.81733333333,9450.0163,0.829029896666667,1055902.5,1021.1827,182038.451,2017,1.35,4,0,0,1,0,1,0
"RI",Mai 2017,69.1416163,83.381125,684.7815,2664.9025483871,9450.86429032258,0.829209703225806,1055811,1021.09403225806,188122.73,2017,1.45430106451613,5,0,0,1,0,1,0
"RI",Jun 2017,77.6717763,93.650429,668.73818,2665.98786666667,9451.71243333333,0.82938954,1055719.5,1021.00543333333,182070.064,2017,1.7088889,6,0,0,1,0,1,0
"RI",Jul 2017,153.4419017,184.992052,700.90329,2666.68816129032,9451.19532258064,0.829449574193548,1055780.41935484,1021.06422580645,188128.225,2017,2.4922805483871,7,0,0,1,0,1,1
"RI",Aug 2017,292.6154692,352.809149,820.07386,2666.99529032258,9449.23635483871,0.829384770967742,1056002.41935484,1021.27896774194,188088.673,2017,2.35422612903226,8,0,0,1,0,1,1
"RI",Sep 2017,283.0843925,341.344926,929.72985,2666.89886666667,9447.23696666667,0.829321033333333,1056220.86666667,1021.49023333333,181983.654,2017,2.3677404,9,0,0,1,0,1,1
"RI",Okt 2017,284.9162929,343.581443,583.09074,2663.30925806452,9444.60019354839,0.829257332258065,1056439.29032258,1021.70141935484,188010.894,2017,2.38398419354839,10,0,0,1,0,1,1
"RI",Nov 2017,307.5748864,370.931924,581.07747,2658.93986666667,9441.8218,0.82919365,1056657.7,1021.91266666667,181908.415,2017,2.6107729,11,0,0,1,0,1,1
"RI",Dez 2017,267.7711525,323.021014,599.88108,2654.57216129032,9439.0445483871,0.828952451612903,1056876.16129032,1022.12393548387,187933.181,2017,2.57441616129032,12,0,0,1,0,1,1
"RI",Jan 2018,273.3933473,329.958813,403.936,2650.13477419355,9436.223,0.828543896774194,1057098.16129032,1022.33870967742,190601.624,2018,2.61337009677419,1,0,0,1,0,1,1
"RI",Feb 2018,211.857123,255.822045,462.49469,2645.91385714286,9433.53903571429,0.828155253571429,1057309.46428571,1022.54296428571,172121.906,2018,2.62976989285714,2,0,0,1,0,1,1
"RI",Mär 2018,189.1217112,228.47186,543.72459,2641.69474193548,9430.85616129032,0.827766774193548,1057520.70967742,1022.74725806452,190525.469,2018,2.39144529032258,3,0,0,1,0,1,1
"RI",Apr 2018,207.0435997,250.249553,575.75625,2637.334,9428.0835,0.827365286666667,1057739.13333333,1022.95853333333,184341.409,2018,2.61779203333333,4,0,0,1,0,1,1
"RI",Mai 2018,239.1414243,289.176003,729.70791,2632.97532258065,9425.31193548387,0.826963974193548,1057957.58064516,1023.16980645161,190446.795,2018,2.66860096774194,5,0,0,1,0,1,1
"RI",Jun 2018,242.8696224,293.834031,674.74599,2628.6184,9422.54153333333,0.82656281,1058176,1023.38106666667,184265.308,2018,2.64654633333333,6,0,0,1,0,1,1
"RI",Jul 2018,266.456339,322.508573,771.02521,2624.42019354839,9420.3355483871,0.826211232258064,1058331.16129032,1023.53106451613,190379.571,2018,2.58999806451613,7,0,0,1,1,1,1
"RI",Aug 2018,292.8888282,354.627002,825.75731,2620.56335483871,9418.535,0.825905861290323,1058422.38709677,1023.61929032258,190363.162,2018,2.64157241935484,8,0,0,1,1,1,1
"RI",Sep 2018,300.4223906,363.877745,992.90316,2621.2295,9414.01603333333,0.825605453333333,1058512.06666667,1023.70613333333,184206.797,2018,2.63798036666667,9,0,0,1,1,1,1
"RI",Okt 2018,299.4509446,362.840049,601.73709,2623.61280645161,9408.43983870968,0.8253051,1058601.80645161,1023.79290322581,190330.886,2018,2.34146877419355,10,0,0,1,1,1,1
"RI",Nov 2018,300.3713316,364.08134,559.18079,2625.99566666667,9402.8646,0.825004803333333,1058691.6,1023.87963333333,184175.567,2018,2.6106113,11,0,0,1,1,1,1
"RI",Dez 2018,207.7871205,251.947853,605.41302,2628.37822580645,9397.29038709677,0.824704551612903,1058781.38709677,1023.9664516129,190298.621,2018,2.45241483870968,12,0,0,1,1,1,1
"RI",Jan 2019,253.0989336,307.012473,418.36953,2630.79932258065,9391.62561290323,0.824399435483871,1058872.51612903,1024.05470967742,192985.604,2019,2.41040061290323,1,0,0,1,1,1,1
"RI",Feb 2019,254.0229295,308.205768,453.2752,2633.10292857143,9386.23592857143,0.824199346428571,1058959.32142857,1024.13864285714,174295.29,2019,2.33369160714286,2,0,0,1,1,1,1
"RI",Mär 2019,227.5640576,276.137392,541.99714,2635.40609677419,9380.84709677419,0.824092609677419,1059046.19354839,1024.22261290323,192953.969,2019,2.39815029032258,3,0,0,1,1,1,1
"RI",Apr 2019,224.712001,272.71363,594.82455,2637.787,9375.2766,0.82398227,1059135.93333333,1024.3094,186713.825,2019,2.5216361,4,0,0,1,1,1,1
"RI",Mai 2019,228.468758,277.311056,680.68593,2640.16748387097,9369.707,0.823871958064516,1059225.61290323,1024.39612903226,192921.273,2019,2.57044903225806,5,0,0,1,1,1,1
"RI",Jun 2019,145.3768971,176.479358,676.85224,2642.5476,9364.13833333333,0.823761653333333,1059315.36666667,1024.48296666667,186682.189,2019,2.62598486666667,6,0,0,1,1,0,1
"RI",Jul 2019,199.2071112,241.811172,749.62974,2645.46567741935,9360.47522580645,0.823819006451613,1059189.58064516,1024.36132258065,192927.844,2019,2.65694435483871,7,0,0,1,1,0,1
"RI",Aug 2019,156.7771959,190.250044,806.5466,2648.99832258064,9358.75187096774,0.824053474193548,1058835.29032258,1024.01858064516,192992.398,2019,2.48223364516129,8,0,0,1,1,0,1
"RI",Sep 2019,173.831678,210.889448,961.75039,2652.47663333333,9357.0552,0.824284306666667,1058486.7,1023.68153333333,186828.34,2019,2.70573953333333,9,0,0,1,1,0,1
"RI",Okt 2019,202.2459336,245.286659,562.30844,2655.957,9355.3574516129,0.8245153,1058138.16129032,1023.3444516129,193119.55,2019,2.64225161290323,10,0,0,1,1,0,1
"RI",Nov 2019,197.5799914,239.566431,562.49373,2659.43973333333,9353.65853333333,0.82474644,1057789.56666667,1023.00726666667,186951.471,2019,2.49658613333333,11,0,0,1,1,0,1
"RI",Dez 2019,175.8926395,213.212783,573.0816,2662.92477419355,9351.9585483871,0.824977732258064,1057441,1022.67025806452,193246.867,2019,2.42572635483871,12,0,0,1,1,0,1
"SC",Feb 2016,0,0,630.40506,24077.95,8425.31154545455,0.817955031818182,4933883.27272727,164.129040909091,111736.426,2016,0,2,0,0,0,0,1,0
"SC",Mär 2016,0,0,976.98493,24049.8877419355,8422.24874193548,0.819123509677419,4938664.12903226,164.2881,157294.374,2016,0,3,0,0,0,0,1,0
"SC",Apr 2016,0,0,940.50238,24017.6566666667,8418.73086666667,0.82046564,4944166.66666667,164.471103333333,152050.95,2016,0,4,0,0,0,0,1,0
"SC",Mai 2016,0,0,965.11512,23985.4983870968,8415.22074193548,0.821804761290323,4949669.12903226,164.6542,156944.65,2016,0,5,0,0,0,0,1,0
"SC",Jun 2016,9.6836105,11.7584767,962.02531,23953.4106666667,8411.71846666667,0.82314093,4955171.66666667,164.8372,151713.262,2016,0.803452366666667,6,0,0,0,0,1,0
"SC",Jul 2016,27.2149376,33.0087538,975.89619,23921.8993548387,8408.40151612903,0.824491548387097,4960569.35483871,165.016774193548,156599.782,2016,2.06050029032258,7,0,0,0,0,1,0
"SC",Aug 2016,44.5018726,53.8819122,944.43251,23890.4716129032,8405.22387096774,0.825879583870968,4965945.5483871,165.195622580645,156430.245,2016,2.49857880645161,8,0,0,0,0,1,0
"SC",Sep 2016,36.0106258,43.5374452,889.91978,23859.6173333333,8402.10416666667,0.827242333333333,4971235,165.371576666667,151223.032,2016,2.03063253333333,9,0,0,0,0,1,0
"SC",Okt 2016,30.7478089,37.1145018,855.01446,23828.8267741935,8398.99122580645,0.828602158064516,4976524.41935484,165.547535483871,156097.713,2016,1.92121816129032,10,0,0,0,0,1,0
"SC",Nov 2016,33.5201222,40.3843507,863.54097,23798.103,8395.88476666667,0.82995911,4981813.9,165.72349,150901.906,2016,2.29274406666667,11,0,0,0,0,1,0
"SC",Dez 2016,34.2874536,41.2431191,853.00024,23759.194516129,8399.85070967742,0.831313170967742,4987103.32258064,165.899448387097,155766.589,2016,2.13735277419355,12,0,0,0,0,1,0
"SC",Jan 2017,28.8469288,34.6497302,854.48529,23676.2190322581,8441.13809677419,0.832686496774194,4992479.51612903,166.078293548387,155410.527,2017,2.12337429032258,1,0,0,0,0,1,0
"SC",Feb 2017,28.4121522,34.0428943,845.00641,23591.3703571429,8485.53007142857,0.834479628571429,4997595.53571429,166.248478571429,140227.101,2017,2.1779375,2,0,0,0,0,1,0
"SC",Mär 2017,29.3854957,35.1221864,965.6764,23506.6980645161,8529.82970967742,0.836774516129032,5002711.58064516,166.418667741935,155092.667,2017,2.09876422580645,3,0,0,0,0,1,0
"SC",Apr 2017,24.5612981,29.2714455,951.8769,23419.336,8575.53696666667,0.839142323333333,5008001,166.594623333333,149931.15,2017,2.042851,4,0,0,0,0,1,0
"SC",Mai 2017,32.7124218,38.8717577,983.58563,23332.1593548387,8621.14719354839,0.8415051,5013290.4516129,166.770580645161,154765.394,2017,2.05714987096774,5,0,0,0,0,1,0
"SC",Jun 2017,31.2809541,37.0600168,965.41262,23245.164,8666.66193333333,0.843862936666667,5018579.93333333,166.94654,149615.104,2017,2.0219204,6,0,0,0,0,1,0
"SC",Jul 2017,147.4692063,174.1831483,961.21463,23158.4329032258,8712.10958064516,0.846218629032258,5023852.4516129,167.121932258065,154440.021,2017,2.42238683870968,7,0,0,0,0,1,1
"SC",Aug 2017,1048.668252,1235.720286,944.88319,23070.5461290323,8758.23574193548,0.848610887096774,5029193.58064516,167.299612903226,154275.999,2017,2.36542283870968,8,0,0,0,0,1,1
"SC",Sep 2017,934.361104,1098.005059,862.65662,22988.936,8803.56246666667,0.85095961,5034448.63333333,167.47442,149143.511,2017,2.4161496,9,0,0,0,0,1,1
"SC",Okt 2017,1047.8576825,1227.9360223,892.51289,22948.4938709677,8849.14180645161,0.853303419354839,5039703.67741936,167.649238709677,153954.265,2017,2.37416525806452,10,0,0,0,0,1,1
"SC",Nov 2017,1009.941965,1180.402784,861.45409,22917.299,8894.7045,0.855642383333333,5044958.66666667,167.824046666667,148832.806,2017,2.3064023,11,0,0,0,0,1,1
"SC",Dez 2017,854.0819563,996.7570296,867.68613,22886.1716129032,8940.17180645161,0.856876303225806,5050213.70967742,167.99885483871,153633.874,2017,2.34410012903226,12,0,0,0,0,1,1
"SC",Jan 2018,1016.307248,1185.729887,832.35183,22854.5958064516,8986.28774193548,0.857115196774194,5055554.87096774,168.176538709677,153476.345,2018,2.27449377419355,1,0,0,0,0,1,1
"SC",Feb 2018,1020.614204,1190.437364,819.65962,22824.6107142857,9030.08275,0.857342082142857,5060637.64285714,168.345617857143,138484.564,2018,2.23612978571429,2,0,0,0,0,1,1
"SC",Mär 2018,1079.609911,1258.919886,943.20258,22794.6867741935,9073.78832258065,0.8575685,5065720.32258064,168.5147,153168.356,2018,2.25700477419355,3,0,0,0,0,1,1
"SC",Apr 2018,1063.488337,1239.778198,943.80277,22763.8116666667,9118.88443333333,0.857802123333333,5070975.36666667,168.68951,148073.836,2018,2.2795807,4,0,0,0,0,1,1
"SC",Mai 2018,1180.007531,1375.243013,995.22684,22732.9996774194,9163.88664516129,0.858035248387097,5076230.41935484,168.864319354839,152851.233,2018,2.22627629032258,5,0,0,0,0,1,1
